Temp (K),Current mA,Im Voltage mV,Re Voltage mV,phase 9,Freq in Hz,Date/time
2.755000,0.510982,0.000494,0.000344,-95.660000,35000,04-09-2024 16:48:33
2.892000,0.510982,0.000489,0.000354,-95.660000,35000,04-09-2024 16:48:34
2.760000,0.510982,0.000479,0.000361,-95.660000,35000,04-09-2024 16:48:34
2.851000,0.510982,0.000462,0.000361,-95.660000,35000,04-09-2024 16:48:35
2.870000,0.510982,0.000454,0.000353,-95.660000,35000,04-09-2024 16:48:36
2.754000,0.510982,0.000459,0.000342,-95.660000,35000,04-09-2024 16:48:36
2.891000,0.510982,0.000468,0.000335,-95.660000,35000,04-09-2024 16:48:37
2.762000,0.510934,0.000473,0.000327,-95.660000,35000,04-09-2024 16:48:37
2.768000,0.510934,0.000474,0.000317,-95.660000,35000,04-09-2024 16:48:38
2.903000,0.510934,0.000473,0.000307,-95.660000,35000,04-09-2024 16:48:39
2.755000,0.510934,0.000470,0.000298,-95.660000,35000,04-09-2024 16:48:39
2.889000,0.510982,0.000469,0.000292,-95.660000,35000,04-09-2024 16:48:40
2.814000,0.510982,0.000469,0.000286,-95.660000,35000,04-09-2024 16:48:41
2.768000,0.510982,0.000469,0.000284,-95.660000,35000,04-09-2024 16:48:41
2.904000,0.510934,0.000469,0.000284,-95.660000,35000,04-09-2024 16:48:42
2.753000,0.510934,0.000470,0.000285,-95.660000,35000,04-09-2024 16:48:42
2.845000,0.510934,0.000469,0.000287,-95.660000,35000,04-09-2024 16:48:43
2.819000,0.510982,0.000465,0.000290,-95.660000,35000,04-09-2024 16:48:44
2.767000,0.510982,0.000458,0.000293,-95.660000,35000,04-09-2024 16:48:44
2.905000,0.510934,0.000451,0.000294,-95.660000,35000,04-09-2024 16:48:45
2.770000,0.510934,0.000443,0.000293,-95.660000,35000,04-09-2024 16:48:45
2.796000,0.510934,0.000438,0.000291,-95.660000,35000,04-09-2024 16:48:46
2.823000,0.510982,0.000433,0.000288,-95.660000,35000,04-09-2024 16:48:47
2.767000,0.510982,0.000429,0.000285,-95.660000,35000,04-09-2024 16:48:47
2.886000,0.510982,0.000424,0.000281,-95.660000,35000,04-09-2024 16:48:48
2.773000,0.510982,0.000421,0.000279,-95.660000,35000,04-09-2024 16:48:48
2.796000,0.510982,0.000415,0.000278,-95.660000,35000,04-09-2024 16:48:49
2.887000,0.510934,0.000409,0.000278,-95.660000,35000,04-09-2024 16:48:50
2.755000,0.510934,0.000408,0.000278,-95.660000,35000,04-09-2024 16:48:50
2.885000,0.510982,0.000414,0.000278,-95.660000,35000,04-09-2024 16:48:51
2.777000,0.510982,0.000421,0.000276,-95.660000,35000,04-09-2024 16:48:52
2.794000,0.510982,0.000427,0.000276,-95.660000,35000,04-09-2024 16:48:52
2.908000,0.510982,0.000434,0.000279,-95.660000,35000,04-09-2024 16:48:53
2.756000,0.510982,0.000442,0.000287,-95.660000,35000,04-09-2024 16:48:53
2.839000,0.510982,0.000447,0.000301,-95.660000,35000,04-09-2024 16:48:54
2.781000,0.510982,0.000447,0.000316,-95.660000,35000,04-09-2024 16:48:55
2.768000,0.510982,0.000444,0.000338,-95.660000,35000,04-09-2024 16:48:55
2.909000,0.510934,0.000442,0.000351,-95.660000,35000,04-09-2024 16:48:56
2.759000,0.510934,0.000443,0.000353,-95.660000,35000,04-09-2024 16:48:56
2.837000,0.510934,0.000445,0.000343,-95.660000,35000,04-09-2024 16:48:57
2.897000,0.510982,0.000447,0.000322,-95.660000,35000,04-09-2024 16:48:58
2.760000,0.510982,0.000452,0.000305,-95.660000,35000,04-09-2024 16:48:58
2.910000,0.510982,0.000461,0.000295,-95.660000,35000,04-09-2024 16:48:59
2.761000,0.510982,0.000475,0.000291,-95.660000,35000,04-09-2024 16:48:59
2.793000,0.510982,0.000495,0.000293,-95.660000,35000,04-09-2024 16:49:00
2.900000,0.510982,0.000507,0.000298,-95.660000,35000,04-09-2024 16:49:01
2.760000,0.510982,0.000513,0.000305,-95.660000,35000,04-09-2024 16:49:01
2.883000,0.510982,0.000514,0.000311,-95.660000,35000,04-09-2024 16:49:02
2.791000,0.510982,0.000506,0.000311,-95.660000,35000,04-09-2024 16:49:03
2.793000,0.510982,0.000492,0.000305,-95.660000,35000,04-09-2024 16:49:03
2.904000,0.510982,0.000476,0.000298,-95.660000,35000,04-09-2024 16:49:04
2.762000,0.510982,0.000462,0.000290,-95.660000,35000,04-09-2024 16:49:04
2.836000,0.510982,0.000451,0.000283,-95.660000,35000,04-09-2024 16:49:05
2.856000,0.510982,0.000446,0.000278,-95.660000,35000,04-09-2024 16:49:06
2.795000,0.510982,0.000443,0.000272,-95.660000,35000,04-09-2024 16:49:06
2.907000,0.510982,0.000443,0.000266,-95.660000,35000,04-09-2024 16:49:07
2.767000,0.510982,0.000446,0.000262,-95.660000,35000,04-09-2024 16:49:07
2.836000,0.510982,0.000448,0.000260,-95.660000,35000,04-09-2024 16:49:08
2.861000,0.510982,0.000448,0.000260,-95.660000,35000,04-09-2024 16:49:09
2.774000,0.510982,0.000447,0.000263,-95.660000,35000,04-09-2024 16:49:09
2.884000,0.510982,0.000443,0.000266,-95.660000,35000,04-09-2024 16:49:10
2.770000,0.510982,0.000439,0.000268,-95.660000,35000,04-09-2024 16:49:10
2.837000,0.510982,0.000434,0.000266,-95.660000,35000,04-09-2024 16:49:11
2.866000,0.510982,0.000426,0.000265,-95.660000,35000,04-09-2024 16:49:12
2.769000,0.510982,0.000417,0.000268,-95.660000,35000,04-09-2024 16:49:12
2.885000,0.510982,0.000416,0.000266,-95.660000,35000,04-09-2024 16:49:13
2.809000,0.510982,0.000419,0.000255,-95.660000,35000,04-09-2024 16:49:13
2.798000,0.510934,0.000413,0.000237,-95.660000,35000,04-09-2024 16:49:14
2.917000,0.510934,0.000402,0.000219,-95.660000,35000,04-09-2024 16:49:15
2.772000,0.510934,0.000400,0.000215,-95.660000,35000,04-09-2024 16:49:15
2.887000,0.510934,0.000408,0.000220,-95.660000,35000,04-09-2024 16:49:16
2.815000,0.510934,0.000419,0.000231,-95.660000,35000,04-09-2024 16:49:16
2.781000,0.510934,0.000428,0.000240,-95.660000,35000,04-09-2024 16:49:17
2.922000,0.510934,0.000434,0.000244,-95.660000,35000,04-09-2024 16:49:18
2.782000,0.510934,0.000441,0.000248,-95.660000,35000,04-09-2024 16:49:18
2.888000,0.510934,0.000448,0.000255,-95.660000,35000,04-09-2024 16:49:19
2.883000,0.510934,0.000456,0.000263,-95.660000,35000,04-09-2024 16:49:20
2.784000,0.510934,0.000462,0.000265,-95.660000,35000,04-09-2024 16:49:20
2.925000,0.510934,0.000469,0.000265,-95.660000,35000,04-09-2024 16:49:21
2.786000,0.510934,0.000478,0.000266,-95.660000,35000,04-09-2024 16:49:21
2.805000,0.510934,0.000489,0.000265,-95.660000,35000,04-09-2024 16:49:22
2.930000,0.510934,0.000495,0.000264,-95.660000,35000,04-09-2024 16:49:23
2.788000,0.510982,0.000495,0.000264,-95.660000,35000,04-09-2024 16:49:23
2.928000,0.510982,0.000488,0.000266,-95.660000,35000,04-09-2024 16:49:24
2.831000,0.510982,0.000480,0.000269,-95.660000,35000,04-09-2024 16:49:25
2.807000,0.510982,0.000472,0.000271,-95.660000,35000,04-09-2024 16:49:25
2.935000,0.510982,0.000464,0.000270,-95.660000,35000,04-09-2024 16:49:26
2.786000,0.510982,0.000456,0.000270,-95.660000,35000,04-09-2024 16:49:26
2.894000,0.510982,0.000448,0.000271,-95.660000,35000,04-09-2024 16:49:27
2.838000,0.510982,0.000444,0.000271,-95.660000,35000,04-09-2024 16:49:28
2.811000,0.510982,0.000441,0.000271,-95.660000,35000,04-09-2024 16:49:28
2.940000,0.510982,0.000438,0.000271,-95.660000,35000,04-09-2024 16:49:29
2.799000,0.510982,0.000435,0.000269,-95.660000,35000,04-09-2024 16:49:29
2.849000,0.510982,0.000434,0.000267,-95.660000,35000,04-09-2024 16:49:30
2.845000,0.510982,0.000434,0.000265,-95.660000,35000,04-09-2024 16:49:31
2.815000,0.510982,0.000435,0.000264,-95.660000,35000,04-09-2024 16:49:31
2.937000,0.510934,0.000440,0.000264,-95.660000,35000,04-09-2024 16:49:32
2.805000,0.510934,0.000449,0.000262,-95.660000,35000,04-09-2024 16:49:32
2.852000,0.510934,0.000455,0.000261,-95.660000,35000,04-09-2024 16:49:33
2.914000,0.510934,0.000450,0.000260,-95.660000,35000,04-09-2024 16:49:34
2.798000,0.510934,0.000439,0.000270,-95.660000,35000,04-09-2024 16:49:34
2.941000,0.510934,0.000436,0.000285,-95.660000,35000,04-09-2024 16:49:35
2.811000,0.510982,0.000441,0.000297,-95.660000,35000,04-09-2024 16:49:35
2.855000,0.510982,0.000448,0.000299,-95.660000,35000,04-09-2024 16:49:36
2.954000,0.510982,0.000459,0.000296,-95.660000,35000,04-09-2024 16:49:37
2.804000,0.510982,0.000468,0.000292,-95.660000,35000,04-09-2024 16:49:37
2.905000,0.510982,0.000470,0.000283,-95.660000,35000,04-09-2024 16:49:38
2.863000,0.510982,0.000463,0.000270,-95.660000,35000,04-09-2024 16:49:38
2.825000,0.510982,0.000448,0.000256,-95.660000,35000,04-09-2024 16:49:39
2.959000,0.510982,0.000431,0.000249,-95.660000,35000,04-09-2024 16:49:40
2.808000,0.510934,0.000416,0.000250,-95.660000,35000,04-09-2024 16:49:40
2.908000,0.510934,0.000405,0.000252,-95.660000,35000,04-09-2024 16:49:41
2.934000,0.510934,0.000390,0.000260,-95.660000,35000,04-09-2024 16:49:42
2.816000,0.510982,0.000380,0.000267,-95.660000,35000,04-09-2024 16:49:42
2.965000,0.510982,0.000374,0.000272,-95.660000,35000,04-09-2024 16:49:43
2.815000,0.510982,0.000374,0.000275,-95.660000,35000,04-09-2024 16:49:43
2.866000,0.510982,0.000381,0.000278,-95.660000,35000,04-09-2024 16:49:44
2.941000,0.510982,0.000390,0.000278,-95.660000,35000,04-09-2024 16:49:45
2.822000,0.510982,0.000399,0.000277,-95.660000,35000,04-09-2024 16:49:45
2.957000,0.510982,0.000407,0.000275,-95.660000,35000,04-09-2024 16:49:46
2.885000,0.510982,0.000414,0.000273,-95.660000,35000,04-09-2024 16:49:46
2.871000,0.510982,0.000420,0.000271,-95.660000,35000,04-09-2024 16:49:47
2.949000,0.510982,0.000423,0.000267,-95.660000,35000,04-09-2024 16:49:48
2.828000,0.510982,0.000426,0.000263,-95.660000,35000,04-09-2024 16:49:48
2.920000,0.510982,0.000428,0.000259,-95.660000,35000,04-09-2024 16:49:49
2.894000,0.510982,0.000430,0.000258,-95.660000,35000,04-09-2024 16:49:49
2.845000,0.510982,0.000431,0.000263,-95.660000,35000,04-09-2024 16:49:50
2.957000,0.510982,0.000430,0.000268,-95.660000,35000,04-09-2024 16:49:51
2.832000,0.510982,0.000425,0.000273,-95.660000,35000,04-09-2024 16:49:51
2.926000,0.510982,0.000419,0.000276,-95.660000,35000,04-09-2024 16:49:52
2.901000,0.510982,0.000411,0.000280,-95.660000,35000,04-09-2024 16:49:52
2.852000,0.510982,0.000408,0.000287,-95.660000,35000,04-09-2024 16:49:53
2.972000,0.510982,0.000411,0.000291,-95.660000,35000,04-09-2024 16:49:54
2.857000,0.510982,0.000415,0.000292,-95.660000,35000,04-09-2024 16:49:54
2.932000,0.510982,0.000420,0.000294,-95.660000,35000,04-09-2024 16:49:55
2.911000,0.510982,0.000427,0.000294,-95.660000,35000,04-09-2024 16:49:56
2.846000,0.510982,0.000431,0.000292,-95.660000,35000,04-09-2024 16:49:56
2.979000,0.510982,0.000429,0.000292,-95.660000,35000,04-09-2024 16:49:57
2.865000,0.510982,0.000427,0.000292,-95.660000,35000,04-09-2024 16:49:57
2.893000,0.510982,0.000424,0.000288,-95.660000,35000,04-09-2024 16:49:58
3.001000,0.510982,0.000420,0.000284,-95.660000,35000,04-09-2024 16:49:59
2.852000,0.510982,0.000417,0.000279,-95.660000,35000,04-09-2024 16:49:59
2.986000,0.510982,0.000418,0.000275,-95.660000,35000,04-09-2024 16:50:00
2.872000,0.510982,0.000422,0.000270,-95.660000,35000,04-09-2024 16:50:00
2.869000,0.510982,0.000430,0.000264,-95.660000,35000,04-09-2024 16:50:01
3.008000,0.510934,0.000433,0.000260,-95.660000,35000,04-09-2024 16:50:02
2.859000,0.510934,0.000429,0.000258,-95.660000,35000,04-09-2024 16:50:02
2.992000,0.510934,0.000426,0.000258,-95.660000,35000,04-09-2024 16:50:03
2.933000,0.510934,0.000424,0.000261,-95.660000,35000,04-09-2024 16:50:04
2.877000,0.510934,0.000427,0.000265,-95.660000,35000,04-09-2024 16:50:04
3.016000,0.510934,0.000431,0.000268,-95.660000,35000,04-09-2024 16:50:05
2.867000,0.510934,0.000435,0.000267,-95.660000,35000,04-09-2024 16:50:05
2.911000,0.510934,0.000439,0.000265,-95.660000,35000,04-09-2024 16:50:06
2.943000,0.510934,0.000440,0.000261,-95.660000,35000,04-09-2024 16:50:07
2.885000,0.510934,0.000440,0.000258,-95.660000,35000,04-09-2024 16:50:07
3.023000,0.510934,0.000436,0.000256,-95.660000,35000,04-09-2024 16:50:08
2.895000,0.510934,0.000431,0.000254,-95.660000,35000,04-09-2024 16:50:08
2.918000,0.510934,0.000427,0.000253,-95.660000,35000,04-09-2024 16:50:09
3.009000,0.510934,0.000424,0.000253,-95.660000,35000,04-09-2024 16:50:10
2.893000,0.510934,0.000424,0.000253,-95.660000,35000,04-09-2024 16:50:10
3.011000,0.510934,0.000427,0.000252,-95.660000,35000,04-09-2024 16:50:11
2.904000,0.510934,0.000431,0.000250,-95.660000,35000,04-09-2024 16:50:11
2.926000,0.510934,0.000437,0.000247,-95.660000,35000,04-09-2024 16:50:12
3.017000,0.510934,0.000444,0.000248,-95.660000,35000,04-09-2024 16:50:13
2.890000,0.510934,0.000453,0.000251,-95.660000,35000,04-09-2024 16:50:13
2.976000,0.510934,0.000459,0.000254,-95.660000,35000,04-09-2024 16:50:14
2.915000,0.510934,0.000464,0.000258,-95.660000,35000,04-09-2024 16:50:14
2.935000,0.510934,0.000467,0.000265,-95.660000,35000,04-09-2024 16:50:15
3.046000,0.510934,0.000465,0.000274,-95.660000,35000,04-09-2024 16:50:16
2.899000,0.510934,0.000463,0.000282,-95.660000,35000,04-09-2024 16:50:16
2.985000,0.510934,0.000465,0.000285,-95.660000,35000,04-09-2024 16:50:17
2.977000,0.510934,0.000467,0.000281,-95.660000,35000,04-09-2024 16:50:17
2.904000,0.510934,0.000465,0.000273,-95.660000,35000,04-09-2024 16:50:18
3.055000,0.510934,0.000461,0.000270,-95.660000,35000,04-09-2024 16:50:19
2.908000,0.510934,0.000455,0.000271,-95.660000,35000,04-09-2024 16:50:19
2.993000,0.510934,0.000450,0.000273,-95.660000,35000,04-09-2024 16:50:20
3.043000,0.510934,0.000447,0.000279,-95.660000,35000,04-09-2024 16:50:21
2.915000,0.510934,0.000446,0.000286,-95.660000,35000,04-09-2024 16:50:21
3.043000,0.510934,0.000445,0.000290,-95.660000,35000,04-09-2024 16:50:22
2.940000,0.510934,0.000446,0.000290,-95.660000,35000,04-09-2024 16:50:22
2.958000,0.510934,0.000448,0.000287,-95.660000,35000,04-09-2024 16:50:23
3.053000,0.510934,0.000449,0.000282,-95.660000,35000,04-09-2024 16:50:24
2.924000,0.510934,0.000449,0.000273,-95.660000,35000,04-09-2024 16:50:24
3.052000,0.510934,0.000449,0.000263,-95.660000,35000,04-09-2024 16:50:25
3.006000,0.510934,0.000448,0.000254,-95.660000,35000,04-09-2024 16:50:25
2.941000,0.510934,0.000448,0.000251,-95.660000,35000,04-09-2024 16:50:26
3.064000,0.510934,0.000448,0.000250,-95.660000,35000,04-09-2024 16:50:27
2.934000,0.510934,0.000447,0.000248,-95.660000,35000,04-09-2024 16:50:27
3.017000,0.510934,0.000448,0.000247,-95.660000,35000,04-09-2024 16:50:28
3.017000,0.510934,0.000451,0.000247,-95.660000,35000,04-09-2024 16:50:28
2.952000,0.510934,0.000456,0.000250,-95.660000,35000,04-09-2024 16:50:29
3.089000,0.510934,0.000460,0.000253,-95.660000,35000,04-09-2024 16:50:30
2.968000,0.510934,0.000461,0.000259,-95.660000,35000,04-09-2024 16:50:30
3.027000,0.510934,0.000460,0.000262,-95.660000,35000,04-09-2024 16:50:31
3.028000,0.510934,0.000454,0.000263,-95.660000,35000,04-09-2024 16:50:32
2.963000,0.510934,0.000445,0.000262,-95.660000,35000,04-09-2024 16:50:32
3.077000,0.510934,0.000434,0.000263,-95.660000,35000,04-09-2024 16:50:33
2.980000,0.510934,0.000427,0.000264,-95.660000,35000,04-09-2024 16:50:33
2.994000,0.510934,0.000423,0.000267,-95.660000,35000,04-09-2024 16:50:34
3.039000,0.510934,0.000423,0.000274,-95.660000,35000,04-09-2024 16:50:35
2.962000,0.510934,0.000429,0.000281,-95.660000,35000,04-09-2024 16:50:35
3.087000,0.510934,0.000437,0.000284,-95.660000,35000,04-09-2024 16:50:36
2.991000,0.510934,0.000446,0.000282,-95.660000,35000,04-09-2024 16:50:36
3.005000,0.510934,0.000453,0.000280,-95.660000,35000,04-09-2024 16:50:37
3.117000,0.510934,0.000461,0.000277,-95.660000,35000,04-09-2024 16:50:38
2.973000,0.510934,0.000470,0.000276,-95.660000,35000,04-09-2024 16:50:38
3.098000,0.510934,0.000479,0.000275,-95.660000,35000,04-09-2024 16:50:39
3.002000,0.510934,0.000489,0.000271,-95.660000,35000,04-09-2024 16:50:39
2.990000,0.510934,0.000498,0.000265,-95.660000,35000,04-09-2024 16:50:40
3.130000,0.510934,0.000499,0.000260,-95.660000,35000,04-09-2024 16:50:41
2.983000,0.510934,0.000498,0.000257,-95.660000,35000,04-09-2024 16:50:41
3.064000,0.510934,0.000497,0.000253,-95.660000,35000,04-09-2024 16:50:42
3.068000,0.510934,0.000499,0.000251,-95.660000,35000,04-09-2024 16:50:43
3.002000,0.510934,0.000502,0.000252,-95.660000,35000,04-09-2024 16:50:43
3.144000,0.510934,0.000503,0.000254,-95.660000,35000,04-09-2024 16:50:44
